"Country Name","Country Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Bahrain","BHR",4229787234.04255,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062906914.89362,8976207712.76596,9632155053.19149,11074822074.46810,13150166755.31910,15968726861.70210,18505053191.48940,21730000000.00000,25710877659.57450,22938218085.10640,25713271276.59570,28776595744.68090,30749308510.63830,32539547872.34040,33387712765.95750,31125851063.82980,32250132978.72340,35432686170.21280,37746196808.51060
"Bosnia and Herzegovina","BIH",,,,,1255802469.13580,1866572953.73666,2786045321.63743,3671816504.23851,4116699437.40410,4685733115.46841,5505887894.48893,5748993411.42021,6651106833.49374,8369878822.85055,10596205714.28570,11222953519.42520,12864610993.52190,15778767669.69910,19112739664.46970,17613836209.95810,17176781336.76440,18644723860.97090,17226849297.07000,18178503835.44910,18558343508.34350,16211541253.18970,16913330693.96530,18080118128.38540,19781776101.38810
"Belarus","BLR",21650000000.00000,18000000000.00000,17037037037.03700,16280991735.53720,14932024169.18430,13972676840.91800,14756846153.84620,14128408565.70640,15222012660.42320,12138486532.02030,12736856827.98470,12354820143.88490,14594249022.89220,17827791321.30670,23144351851.85190,30207567316.62020,36954312354.31240,45277399813.60670,60763483146.06740,50874078052.27350,58665088956.02550,61757788944.72360,65685102554.87590,75527984234.23420,78813839984.35060,56454734396.58420,47722657820.66750,54726595249.18490,59662495092.26540
"Belize","BLZ",412086445.49218,444720750.00000,518239100.00000,559858250.00000,580863700.00000,620140400.00000,641383800.00000,654314350.00000,688992450.00000,732732350.00000,832072450.00000,871860600.00000,932551850.00000,990374050.00000,1057845500.00000,1114202700.00000,1217442150.00000,1290542550.00000,1368625150.00000,1335217500.00000,1396731700.00000,1486595750.00000,1563827850.00000,1608442150.00000,1692955750.00000,1762500450.00000,1806646250.00000,1862614800.00000,1925000000.00000
"Bermuda","BMU",1592400000.00000,1634899968.00000,1679900032.00000,1820359936.00000,1867160064.00000,2030749952.00000,2695390000.00000,2932827000.00000,3130748000.00000,3324433000.00000,3480219000.00000,3680483000.00000,3937228000.00000,4186525000.00000,4484703000.00000,4868136000.00000,5414299000.00000,5895048000.00000,6109928000.00000,5806378000.00000,5744414000.00000,5550771000.00000,5537537000.00000,5573710000.00000,,,,,
"Bolivia","BOL",4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.91700,6715220507.05164,7396966657.47054,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.91129,9549077869.10650,11451869164.71120,13120183156.71490,16674324634.23730,17339992165.24220,19649631450.68190,23963033588.00630,27084497539.79740,30659338784.37050,32996188133.14040,33000198263.38640,33941126193.92190,37508642257.59770,40287647756.87410
"Brazil","BRA",461951782000.00000,602860000000.00000,400599250000.00000,437798577639.75200,558111997497.26300,769305386182.84900,850426432991.74200,883199625324.67500,863723411632.91700,599388579985.67300,655420645476.90600,559372276081.96600,507962487700.02400,558319920831.97900,669316654017.09400,891630177251.06800,1107640289615.23000,1397084349956.35000,1695824565983.20000,1667019783585.08000,2208871646202.82000,2616201578192.25000,2465188674415.03000,2472806456101.29000,2455994050148.75000,1802214373741.32000,1796275437087.99000,2053594973992.61000,1868626087908.48000
"Barbados","BRB",2023318251.87690,2007109829.46353,1950900000.00000,2046189031.96937,2151295182.22045,2261969870.23318,2411872918.01323,2549296474.91672,2874459304.92716,3012081738.17929,3121500000.00000,3116650000.00000,3169600000.00000,3274850000.00000,3514350000.00000,3897300000.00000,4176500000.00000,4672250000.00000,4782000000.00000,4479950000.00000,4529900000.00000,4660900000.00000,4656350000.00000,4612500000.00000,4608350000.00000,4584150000.00000,4529050000.00000,4673500000.00000,
"Brunei Darussalam","BRN",3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000.00000,6001153306.26450,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.07690,12247694247.22980,14393099068.58590,10732366286.26430,13707370737.07370,18525319977.74070,19048495518.56590,18093829923.27370,17098342541.43650,12930394937.81370,11400653949.17830,12128088999.92760,13567099497.82790
"Bhutan","BTN",299787275.84238,250045839.92964,250794359.56790,235239570.35094,270801565.18967,303053462.84305,316420860.85239,365964500.13770,376955087.25158,419035810.49698,439158233.19982,476360697.18161,537050133.71734,622026107.77158,702682018.97617,818869145.12472,897731524.92992,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1976938529.72743,2059809919.89325,2219675780.89539,2528007911.35353,2534965162.78084
